Date,Week,Month,Trimester,Semester,Year
2019-06-04,23,6,2,2,2019
2019-06-05,23,6,2,2,2019
2019-06-06,23,6,2,2,2019
2019-06-07,23,6,2,2,2019
2019-06-08,23,6,2,2,2019
2019-06-09,23,6,2,2,2019
2019-06-10,24,6,2,2,2019
2019-06-11,24,6,2,2,2019
2019-06-12,24,6,2,2,2019
2019-06-13,24,6,2,2,2019
2019-06-14,24,6,2,2,2019
2019-06-15,24,6,2,2,2019
2019-06-16,24,6,2,2,2019
2019-06-17,25,6,2,2,2019
2019-06-18,25,6,2,2,2019
2019-06-19,25,6,2,2,2019
2019-06-20,25,6,2,2,2019
2019-06-21,25,6,2,2,2019
2019-06-22,25,6,2,2,2019
2019-06-23,25,6,2,2,2019
2019-06-24,26,6,2,2,2019
2019-06-25,26,6,2,2,2019
2019-06-26,26,6,2,2,2019
2019-06-27,26,6,2,2,2019
2019-06-28,26,6,2,2,2019
2019-06-29,26,6,2,2,2019
2019-06-30,26,6,2,2,2019
2019-07-01,27,7,3,1,2019
2019-07-02,27,7,3,1,2019
2019-07-03,27,7,3,1,2019
2019-07-04,27,7,3,1,2019
2019-07-05,27,7,3,1,2019
2019-07-06,27,7,3,1,2019
2019-07-07,27,7,3,1,2019
2019-07-08,28,7,3,1,2019
2019-07-09,28,7,3,1,2019
2019-07-10,28,7,3,1,2019
2019-07-11,28,7,3,1,2019
2019-07-12,28,7,3,1,2019
2019-07-13,28,7,3,1,2019
2019-07-14,28,7,3,1,2019
2019-07-15,29,7,3,1,2019
2019-07-16,29,7,3,1,2019
2019-07-17,29,7,3,1,2019
2019-07-18,29,7,3,1,2019
2019-07-19,29,7,3,1,2019
2019-07-20,29,7,3,1,2019
2019-07-21,29,7,3,1,2019
2019-07-22,30,7,3,1,2019
2019-07-23,30,7,3,1,2019
2019-07-24,30,7,3,1,2019
2019-07-25,30,7,3,1,2019
2019-07-26,30,7,3,1,2019
2019-07-27,30,7,3,1,2019
2019-07-28,30,7,3,1,2019
2019-07-29,31,7,3,1,2019
2019-07-30,31,7,3,1,2019
2019-07-31,31,7,3,1,2019
2019-08-01,31,8,3,1,2019
2019-08-02,31,8,3,1,2019
2019-08-03,31,8,3,1,2019
2019-08-04,31,8,3,1,2019
2019-08-05,32,8,3,1,2019
2019-08-06,32,8,3,1,2019
2019-08-07,32,8,3,1,2019
2019-08-08,32,8,3,1,2019
2019-08-09,32,8,3,1,2019
2019-08-10,32,8,3,1,2019
2019-08-11,32,8,3,1,2019
2019-08-12,33,8,3,1,2019
2019-08-13,33,8,3,1,2019
2019-08-14,33,8,3,1,2019
2019-08-15,33,8,3,1,2019
2019-08-16,33,8,3,1,2019
2019-08-17,33,8,3,1,2019
2019-08-18,33,8,3,1,2019
2019-08-19,34,8,3,1,2019
2019-08-20,34,8,3,1,2019
2019-08-21,34,8,3,1,2019
2019-08-22,34,8,3,1,2019
2019-08-23,34,8,3,1,2019
2019-08-24,34,8,3,1,2019
2019-08-25,34,8,3,1,2019
2019-08-26,35,8,3,1,2019
2019-08-27,35,8,3,1,2019
2019-08-28,35,8,3,1,2019
2019-08-29,35,8,3,1,2019
2019-08-30,35,8,3,1,2019
2019-08-31,35,8,3,1,2019
2019-09-01,35,9,3,1,2019
2019-09-02,36,9,3,1,2019
2019-09-03,36,9,3,1,2019
2019-09-04,36,9,3,1,2019
2019-09-05,36,9,3,1,2019
2019-09-06,36,9,3,1,2019
2019-09-07,36,9,3,1,2019
2019-09-08,36,9,3,1,2019
2019-09-09,37,9,3,1,2019
2019-09-10,37,9,3,1,2019
2019-09-11,37,9,3,1,2019
2019-09-12,37,9,3,1,2019
2019-09-13,37,9,3,1,2019
2019-09-14,37,9,3,1,2019
2019-09-15,37,9,3,1,2019
2019-09-16,38,9,3,1,2019
2019-09-17,38,9,3,1,2019
2019-09-18,38,9,3,1,2019
2019-09-19,38,9,3,1,2019
2019-09-20,38,9,3,1,2019
2019-09-21,38,9,3,1,2019
2019-09-22,38,9,3,1,2019
2019-09-23,39,9,3,1,2019
2019-09-24,39,9,3,1,2019
2019-09-25,39,9,3,1,2019
2019-09-26,39,9,3,1,2019
2019-09-27,39,9,3,1,2019
2019-09-28,39,9,3,1,2019
2019-09-29,39,9,3,1,2019
2019-09-30,40,9,3,1,2019
2019-10-01,40,10,4,1,2019
2019-10-02,40,10,4,1,2019
2019-10-03,40,10,4,1,2019
2019-10-04,40,10,4,1,2019
2019-10-05,40,10,4,1,2019
2019-10-06,40,10,4,1,2019
2019-10-07,41,10,4,1,2019
2019-10-08,41,10,4,1,2019
2019-10-09,41,10,4,1,2019
2019-10-10,41,10,4,1,2019
2019-10-11,41,10,4,1,2019
2019-10-12,41,10,4,1,2019
2019-10-13,41,10,4,1,2019
2019-10-14,42,10,4,1,2019
2019-10-15,42,10,4,1,2019
2019-10-16,42,10,4,1,2019
2019-10-17,42,10,4,1,2019
2019-10-18,42,10,4,1,2019
2019-10-19,42,10,4,1,2019
2019-10-20,42,10,4,1,2019
2019-10-21,43,10,4,1,2019
2019-10-22,43,10,4,1,2019
2019-10-23,43,10,4,1,2019
2019-10-24,43,10,4,1,2019
2019-10-25,43,10,4,1,2019
2019-10-26,43,10,4,1,2019
2019-10-27,43,10,4,1,2019
2019-10-28,44,10,4,1,2019
2019-10-29,44,10,4,1,2019
2019-10-30,44,10,4,1,2019
2019-10-31,44,10,4,1,2019
2019-11-01,44,11,4,1,2019
2019-11-02,44,11,4,1,2019
2019-11-03,44,11,4,1,2019
2019-11-04,45,11,4,1,2019
2019-11-05,45,11,4,1,2019
2019-11-06,45,11,4,1,2019
2019-11-07,45,11,4,1,2019
2019-11-08,45,11,4,1,2019
2019-11-09,45,11,4,1,2019
2019-11-10,45,11,4,1,2019
2019-11-11,46,11,4,1,2019
2019-11-12,46,11,4,1,2019
2019-11-13,46,11,4,1,2019
2019-11-14,46,11,4,1,2019
2019-11-15,46,11,4,1,2019
2019-11-16,46,11,4,1,2019
2019-11-17,46,11,4,1,2019
2019-11-18,47,11,4,1,2019
2019-11-19,47,11,4,1,2019
2019-11-20,47,11,4,1,2019
2019-11-21,47,11,4,1,2019
2019-11-22,47,11,4,1,2019
2019-11-23,47,11,4,1,2019
2019-11-24,47,11,4,1,2019
2019-11-25,48,11,4,1,2019
2019-11-26,48,11,4,1,2019
2019-11-27,48,11,4,1,2019
2019-11-28,48,11,4,1,2019
2019-11-29,48,11,4,1,2019
2019-11-30,48,11,4,1,2019
2019-12-01,48,12,4,1,2019
2019-12-02,49,12,4,1,2019
2019-12-03,49,12,4,1,2019
2019-12-04,49,12,4,1,2019
2019-12-05,49,12,4,1,2019
2019-12-06,49,12,4,1,2019
2019-12-07,49,12,4,1,2019
2019-12-08,49,12,4,1,2019
2019-12-09,50,12,4,1,2019
2019-12-10,50,12,4,1,2019
2019-12-11,50,12,4,1,2019
2019-12-12,50,12,4,1,2019
2019-12-13,50,12,4,1,2019
2019-12-14,50,12,4,1,2019
2019-12-15,50,12,4,1,2019
2019-12-16,51,12,4,1,2019
2019-12-17,51,12,4,1,2019
2019-12-18,51,12,4,1,2019
2019-12-19,51,12,4,1,2019
2019-12-20,51,12,4,1,2019
2019-12-21,51,12,4,1,2019
2019-12-22,51,12,4,1,2019
2019-12-23,52,12,4,1,2019
2019-12-24,52,12,4,1,2019
2019-12-25,52,12,4,1,2019
2019-12-26,52,12,4,1,2019
2019-12-27,52,12,4,1,2019
2019-12-28,52,12,4,1,2019
2019-12-29,52,12,4,1,2019
2019-12-30,1,12,4,1,2019
2019-12-31,1,12,4,1,2019
2020-01-01,1,1,1,2,2020
2020-01-02,1,1,1,2,2020
2020-01-03,1,1,1,2,2020
2020-01-04,1,1,1,2,2020
2020-01-05,1,1,1,2,2020
2020-01-06,2,1,1,2,2020
2020-01-07,2,1,1,2,2020
2020-01-08,2,1,1,2,2020
2020-01-09,2,1,1,2,2020
2020-01-10,2,1,1,2,2020
2020-01-11,2,1,1,2,2020
2020-01-12,2,1,1,2,2020
2020-01-13,3,1,1,2,2020
2020-01-14,3,1,1,2,2020
2020-01-15,3,1,1,2,2020
2020-01-16,3,1,1,2,2020
2020-01-17,3,1,1,2,2020
2020-01-18,3,1,1,2,2020
2020-01-19,3,1,1,2,2020
2020-01-20,4,1,1,2,2020
2020-01-21,4,1,1,2,2020
2020-01-22,4,1,1,2,2020
2020-01-23,4,1,1,2,2020
2020-01-24,4,1,1,2,2020
2020-01-25,4,1,1,2,2020
2020-01-26,4,1,1,2,2020
2020-01-27,5,1,1,2,2020
2020-01-28,5,1,1,2,2020
2020-01-29,5,1,1,2,2020
2020-01-30,5,1,1,2,2020
2020-01-31,5,1,1,2,2020
2020-02-01,5,2,1,2,2020
2020-02-02,5,2,1,2,2020
2020-02-03,6,2,1,2,2020
2020-02-04,6,2,1,2,2020
2020-02-05,6,2,1,2,2020
2020-02-06,6,2,1,2,2020
2020-02-07,6,2,1,2,2020
2020-02-08,6,2,1,2,2020
2020-02-09,6,2,1,2,2020
2020-02-10,7,2,1,2,2020
2020-02-11,7,2,1,2,2020
2020-02-12,7,2,1,2,2020
2020-02-13,7,2,1,2,2020
2020-02-14,7,2,1,2,2020
2020-02-15,7,2,1,2,2020
2020-02-16,7,2,1,2,2020
2020-02-17,8,2,1,2,2020
2020-02-18,8,2,1,2,2020
2020-02-19,8,2,1,2,2020
2020-02-20,8,2,1,2,2020
2020-02-21,8,2,1,2,2020
2020-02-22,8,2,1,2,2020
2020-02-23,8,2,1,2,2020
2020-02-24,9,2,1,2,2020
2020-02-25,9,2,1,2,2020
2020-02-26,9,2,1,2,2020
2020-02-27,9,2,1,2,2020
2020-02-28,9,2,1,2,2020
2020-02-29,9,2,1,2,2020
2020-03-01,9,3,1,2,2020
2020-03-02,10,3,1,2,2020
2020-03-03,10,3,1,2,2020
2020-03-04,10,3,1,2,2020
2020-03-05,10,3,1,2,2020
2020-03-06,10,3,1,2,2020
2020-03-07,10,3,1,2,2020
2020-03-08,10,3,1,2,2020
2020-03-09,11,3,1,2,2020
2020-03-10,11,3,1,2,2020
2020-03-11,11,3,1,2,2020
2020-03-12,11,3,1,2,2020
2020-03-13,11,3,1,2,2020
2020-03-14,11,3,1,2,2020
2020-03-15,11,3,1,2,2020
2020-03-16,12,3,1,2,2020
2020-03-17,12,3,1,2,2020
2020-03-18,12,3,1,2,2020
2020-03-19,12,3,1,2,2020
2020-03-20,12,3,1,2,2020
2020-03-21,12,3,1,2,2020
2020-03-22,12,3,1,2,2020
2020-03-23,13,3,1,2,2020
2020-03-24,13,3,1,2,2020
2020-03-25,13,3,1,2,2020
2020-03-26,13,3,1,2,2020
2020-03-27,13,3,1,2,2020
2020-03-28,13,3,1,2,2020
2020-03-29,13,3,1,2,2020
2020-03-30,14,3,1,2,2020
2020-03-31,14,3,1,2,2020
2020-04-01,14,4,2,2,2020
2020-04-02,14,4,2,2,2020
2020-04-03,14,4,2,2,2020
2020-04-04,14,4,2,2,2020
2020-04-05,14,4,2,2,2020
2020-04-06,15,4,2,2,2020
2020-04-07,15,4,2,2,2020
2020-04-08,15,4,2,2,2020
2020-04-09,15,4,2,2,2020
2020-04-10,15,4,2,2,2020
2020-04-11,15,4,2,2,2020
2020-04-12,15,4,2,2,2020
2020-04-13,16,4,2,2,2020
2020-04-14,16,4,2,2,2020
2020-04-15,16,4,2,2,2020
2020-04-16,16,4,2,2,2020
2020-04-17,16,4,2,2,2020
2020-04-18,16,4,2,2,2020
2020-04-19,16,4,2,2,2020
2020-04-20,17,4,2,2,2020
2020-04-21,17,4,2,2,2020
2020-04-22,17,4,2,2,2020
2020-04-23,17,4,2,2,2020
2020-04-24,17,4,2,2,2020
2020-04-25,17,4,2,2,2020
2020-04-26,17,4,2,2,2020
2020-04-27,18,4,2,2,2020
2020-04-28,18,4,2,2,2020
2020-04-29,18,4,2,2,2020
2020-04-30,18,4,2,2,2020
2020-05-01,18,5,2,2,2020
2020-05-02,18,5,2,2,2020
2020-05-03,18,5,2,2,2020
2020-05-04,19,5,2,2,2020
2020-05-05,19,5,2,2,2020
2020-05-06,19,5,2,2,2020
2020-05-07,19,5,2,2,2020
2020-05-08,19,5,2,2,2020
2020-05-09,19,5,2,2,2020
2020-05-10,19,5,2,2,2020
2020-05-11,20,5,2,2,2020
2020-05-12,20,5,2,2,2020
2020-05-13,20,5,2,2,2020
2020-05-14,20,5,2,2,2020
2020-05-15,20,5,2,2,2020
2020-05-16,20,5,2,2,2020
2020-05-17,20,5,2,2,2020
2020-05-18,21,5,2,2,2020
2020-05-19,21,5,2,2,2020
2020-05-20,21,5,2,2,2020
2020-05-21,21,5,2,2,2020
2020-05-22,21,5,2,2,2020
2020-05-23,21,5,2,2,2020
2020-05-24,21,5,2,2,2020
2020-05-25,22,5,2,2,2020
2020-05-26,22,5,2,2,2020
2020-05-27,22,5,2,2,2020
2020-05-28,22,5,2,2,2020
2020-05-29,22,5,2,2,2020
2020-05-30,22,5,2,2,2020
2020-05-31,22,5,2,2,2020
2020-06-01,23,6,2,2,2020
2020-06-02,23,6,2,2,2020
2020-06-03,23,6,2,2,2020
2020-06-04,23,6,2,2,2020
2020-06-05,23,6,2,2,2020
2020-06-06,23,6,2,2,2020
2020-06-07,23,6,2,2,2020
2020-06-08,24,6,2,2,2020
2020-06-09,24,6,2,2,2020
2020-06-10,24,6,2,2,2020
2020-06-11,24,6,2,2,2020
2020-06-12,24,6,2,2,2020
2020-06-13,24,6,2,2,2020
2020-06-14,24,6,2,2,2020
2020-06-15,25,6,2,2,2020
2020-06-16,25,6,2,2,2020
2020-06-17,25,6,2,2,2020
2020-06-18,25,6,2,2,2020
2020-06-19,25,6,2,2,2020
2020-06-20,25,6,2,2,2020
2020-06-21,25,6,2,2,2020
2020-06-22,26,6,2,2,2020
2020-06-23,26,6,2,2,2020
2020-06-24,26,6,2,2,2020
2020-06-25,26,6,2,2,2020
2020-06-26,26,6,2,2,2020
2020-06-27,26,6,2,2,2020
2020-06-28,26,6,2,2,2020
2020-06-29,27,6,2,2,2020
2020-06-30,27,6,2,2,2020
2020-07-01,27,7,3,1,2020
2020-07-02,27,7,3,1,2020
2020-07-03,27,7,3,1,2020
2020-07-04,27,7,3,1,2020
2020-07-05,27,7,3,1,2020
2020-07-06,28,7,3,1,2020
2020-07-07,28,7,3,1,2020
2020-07-08,28,7,3,1,2020
2020-07-09,28,7,3,1,2020
2020-07-10,28,7,3,1,2020
2020-07-11,28,7,3,1,2020
2020-07-12,28,7,3,1,2020
2020-07-13,29,7,3,1,2020
2020-07-14,29,7,3,1,2020
2020-07-15,29,7,3,1,2020
2020-07-16,29,7,3,1,2020
2020-07-17,29,7,3,1,2020
2020-07-18,29,7,3,1,2020
2020-07-19,29,7,3,1,2020
2020-07-20,30,7,3,1,2020
2020-07-21,30,7,3,1,2020
2020-07-22,30,7,3,1,2020
2020-07-23,30,7,3,1,2020
2020-07-24,30,7,3,1,2020
2020-07-25,30,7,3,1,2020
2020-07-26,30,7,3,1,2020
2020-07-27,31,7,3,1,2020
2020-07-28,31,7,3,1,2020
2020-07-29,31,7,3,1,2020
2020-07-30,31,7,3,1,2020
2020-07-31,31,7,3,1,2020
2020-08-01,31,8,3,1,2020
2020-08-02,31,8,3,1,2020
2020-08-03,32,8,3,1,2020
2020-08-04,32,8,3,1,2020
2020-08-05,32,8,3,1,2020
2020-08-06,32,8,3,1,2020
2020-08-07,32,8,3,1,2020
2020-08-08,32,8,3,1,2020
2020-08-09,32,8,3,1,2020
2020-08-10,33,8,3,1,2020
2020-08-11,33,8,3,1,2020
2020-08-12,33,8,3,1,2020
2020-08-13,33,8,3,1,2020
2020-08-14,33,8,3,1,2020
2020-08-15,33,8,3,1,2020
2020-08-16,33,8,3,1,2020
2020-08-17,34,8,3,1,2020
2020-08-18,34,8,3,1,2020
2020-08-19,34,8,3,1,2020
2020-08-20,34,8,3,1,2020
2020-08-21,34,8,3,1,2020
2020-08-22,34,8,3,1,2020
2020-08-23,34,8,3,1,2020
2020-08-24,35,8,3,1,2020
2020-08-25,35,8,3,1,2020
2020-08-26,35,8,3,1,2020
2020-08-27,35,8,3,1,2020
2020-08-28,35,8,3,1,2020
2020-08-29,35,8,3,1,2020
2020-08-30,35,8,3,1,2020
2020-08-31,36,8,3,1,2020
2020-09-01,36,9,3,1,2020
2020-09-02,36,9,3,1,2020
2020-09-03,36,9,3,1,2020
2020-09-04,36,9,3,1,2020
2020-09-05,36,9,3,1,2020
2020-09-06,36,9,3,1,2020
2020-09-07,37,9,3,1,2020
2020-09-08,37,9,3,1,2020
2020-09-09,37,9,3,1,2020
2020-09-10,37,9,3,1,2020
2020-09-11,37,9,3,1,2020
2020-09-12,37,9,3,1,2020
2020-09-13,37,9,3,1,2020
2020-09-14,38,9,3,1,2020
2020-09-15,38,9,3,1,2020
2020-09-16,38,9,3,1,2020
2020-09-17,38,9,3,1,2020
2020-09-18,38,9,3,1,2020
2020-09-19,38,9,3,1,2020
2020-09-20,38,9,3,1,2020
2020-09-21,39,9,3,1,2020
2020-09-22,39,9,3,1,2020
2020-09-23,39,9,3,1,2020
2020-09-24,39,9,3,1,2020
2020-09-25,39,9,3,1,2020
2020-09-26,39,9,3,1,2020
2020-09-27,39,9,3,1,2020
2020-09-28,40,9,3,1,2020
2020-09-29,40,9,3,1,2020
2020-09-30,40,9,3,1,2020
2020-10-01,40,10,4,1,2020
2020-10-02,40,10,4,1,2020
2020-10-03,40,10,4,1,2020
2020-10-04,40,10,4,1,2020
2020-10-05,41,10,4,1,2020
2020-10-06,41,10,4,1,2020
2020-10-07,41,10,4,1,2020
2020-10-08,41,10,4,1,2020
2020-10-09,41,10,4,1,2020
2020-10-10,41,10,4,1,2020
2020-10-11,41,10,4,1,2020
2020-10-12,42,10,4,1,2020
2020-10-13,42,10,4,1,2020
2020-10-14,42,10,4,1,2020
2020-10-15,42,10,4,1,2020
2020-10-16,42,10,4,1,2020
2020-10-17,42,10,4,1,2020
2020-10-18,42,10,4,1,2020
2020-10-19,43,10,4,1,2020
2020-10-20,43,10,4,1,2020
2020-10-21,43,10,4,1,2020
2020-10-22,43,10,4,1,2020
2020-10-23,43,10,4,1,2020
2020-10-24,43,10,4,1,2020
2020-10-25,43,10,4,1,2020
2020-10-26,44,10,4,1,2020
2020-10-27,44,10,4,1,2020
2020-10-28,44,10,4,1,2020
2020-10-29,44,10,4,1,2020
2020-10-30,44,10,4,1,2020
2020-10-31,44,10,4,1,2020
2020-11-01,44,11,4,1,2020
2020-11-02,45,11,4,1,2020
2020-11-03,45,11,4,1,2020
2020-11-04,45,11,4,1,2020
2020-11-05,45,11,4,1,2020
2020-11-06,45,11,4,1,2020
2020-11-07,45,11,4,1,2020
2020-11-08,45,11,4,1,2020
2020-11-09,46,11,4,1,2020
2020-11-10,46,11,4,1,2020
2020-11-11,46,11,4,1,2020
2020-11-12,46,11,4,1,2020
2020-11-13,46,11,4,1,2020
2020-11-14,46,11,4,1,2020
2020-11-15,46,11,4,1,2020
2020-11-16,47,11,4,1,2020
2020-11-17,47,11,4,1,2020
2020-11-18,47,11,4,1,2020
2020-11-19,47,11,4,1,2020
2020-11-20,47,11,4,1,2020
2020-11-21,47,11,4,1,2020
2020-11-22,47,11,4,1,2020
2020-11-23,48,11,4,1,2020
2020-11-24,48,11,4,1,2020
2020-11-25,48,11,4,1,2020
2020-11-26,48,11,4,1,2020
2020-11-27,48,11,4,1,2020
2020-11-28,48,11,4,1,2020
2020-11-29,48,11,4,1,2020
2020-11-30,49,11,4,1,2020
2020-12-01,49,12,4,1,2020
2020-12-02,49,12,4,1,2020
2020-12-03,49,12,4,1,2020
2020-12-04,49,12,4,1,2020
2020-12-05,49,12,4,1,2020
2020-12-06,49,12,4,1,2020
2020-12-07,50,12,4,1,2020
2020-12-08,50,12,4,1,2020
2020-12-09,50,12,4,1,2020
2020-12-10,50,12,4,1,2020
2020-12-11,50,12,4,1,2020
2020-12-12,50,12,4,1,2020
2020-12-13,50,12,4,1,2020
2020-12-14,51,12,4,1,2020
2020-12-15,51,12,4,1,2020
2020-12-16,51,12,4,1,2020
2020-12-17,51,12,4,1,2020
2020-12-18,51,12,4,1,2020
2020-12-19,51,12,4,1,2020
2020-12-20,51,12,4,1,2020
2020-12-21,52,12,4,1,2020
2020-12-22,52,12,4,1,2020
2020-12-23,52,12,4,1,2020
2020-12-24,52,12,4,1,2020
2020-12-25,52,12,4,1,2020
2020-12-26,52,12,4,1,2020
2020-12-27,52,12,4,1,2020
2020-12-28,53,12,4,1,2020
2020-12-29,53,12,4,1,2020
2020-12-30,53,12,4,1,2020
2020-12-31,53,12,4,1,2020
2021-01-01,53,1,1,2,2021
2021-01-02,53,1,1,2,2021
2021-01-03,53,1,1,2,2021
2021-01-04,1,1,1,2,2021
2021-01-05,1,1,1,2,2021
2021-01-06,1,1,1,2,2021
2021-01-07,1,1,1,2,2021
2021-01-08,1,1,1,2,2021
2021-01-09,1,1,1,2,2021
2021-01-10,1,1,1,2,2021
2021-01-11,2,1,1,2,2021
2021-01-12,2,1,1,2,2021
2021-01-13,2,1,1,2,2021
2021-01-14,2,1,1,2,2021
2021-01-15,2,1,1,2,2021
2021-01-16,2,1,1,2,2021
2021-01-17,2,1,1,2,2021
2021-01-18,3,1,1,2,2021
2021-01-19,3,1,1,2,2021
2021-01-20,3,1,1,2,2021
2021-01-21,3,1,1,2,2021
2021-01-22,3,1,1,2,2021
2021-01-23,3,1,1,2,2021
2021-01-24,3,1,1,2,2021
2021-01-25,4,1,1,2,2021
2021-01-26,4,1,1,2,2021
2021-01-27,4,1,1,2,2021
2021-01-28,4,1,1,2,2021
2021-01-29,4,1,1,2,2021
2021-01-30,4,1,1,2,2021
2021-01-31,4,1,1,2,2021
2021-02-01,5,2,1,2,2021
2021-02-02,5,2,1,2,2021
2021-02-03,5,2,1,2,2021
2021-02-04,5,2,1,2,2021
2021-02-05,5,2,1,2,2021
2021-02-06,5,2,1,2,2021
2021-02-07,5,2,1,2,2021
2021-02-08,6,2,1,2,2021
2021-02-09,6,2,1,2,2021
2021-02-10,6,2,1,2,2021
2021-02-11,6,2,1,2,2021
2021-02-12,6,2,1,2,2021
2021-02-13,6,2,1,2,2021
